Symbol,Original Weights,Ideal Weights
AMZN,0.23,0.24753970255240787
AAPL,0.3,0.23303235925004168
JD,0.03,0.10751098819036028
KO,0.03,0.09858402539114716
TSLA,0.12,0.09548332502893256
BABA,0.09,0.08663876895856427
V,0.04,0.04395151988194692
DAL,0.01,0.043581531373829335
JNJ,0.15,0.04008018062648484
AGNC,0.0,0.0035975987462850733
